group,type,url,status_code,inlinks,unique_inlinks,target_or_redirect,priority,recommended_action,note
residual_links,redirect,https://defiliban.io/t/coinbase/,301,23,21,https://defiliban.io/news/coinbase/,high,replace source links with final destination,Top residual 301 after wave 2; sources are content/archive links still pointing to old tag URL.
residual_links,redirect,https://defiliban.io/bitcoin-and-ethereum-etf-flows-jump-on-mar-18-as-btc-funds-add-2492-btc/,301,3,3,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,medium,replace source links with final destination,
residual_links,redirect,https://defiliban.io/okx-publishes-42nd-proof-of-reserves-report/,301,3,3,https://defiliban.io/okx-publishes-42nd-proof-of-reserves-report-april-20-snapshot/,medium,replace source links with final destination,
residual_links,redirect,https://defiliban.io/charles-schwab-crypto-vertical-bitcoin-buying-soon,301,3,2,https://defiliban.io/charles-schwab-crypto-vertical-bitcoin-buying-soon/,medium,replace source links with final destination,
residual_links,redirect,https://defiliban.io/ark-invest-buys-circle-shares-stock-crash/,301,2,2,https://defiliban.io/ark-invest-circle-shares-20-drop/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/based-on-binance-alpha-defi-liquidity-impact/,301,2,2,https://defiliban.io/based-binance-alpha-listing/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/binance-uae-staff-relocation-what-the-report-shows/,301,2,2,https://defiliban.io/binance-uae-staff-relocation-hong-kong/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-drops-65770-defi-liquidation-risk/,301,2,2,https://defiliban.io/bitcoin-eth-drop-defi-liquidation/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-etf-flows-today-what-the-139-6m-outflow-means/,301,2,2,https://defiliban.io/bitcoin-etf-flows-today-latest-outflow-analysis/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-etfs-see-52-1m-net-outflow-as-march-20-flows-turn-negative/,301,2,2,https://defiliban.io/spot-bitcoin-etfs-52-1-million-net-outflow-march-20/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-fear-and-greed-index-what-it-means-for-defi/,301,2,2,https://defiliban.io/bitcoin-fear-greed-index-defi/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-halving-cycle-points-to-reversal-in-2-months/,301,2,2,https://defiliban.io/bitcoin-halving-reversal-2026/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-miner-3pfndg-reportedly-sold-265-btc-after-2-years,301,2,2,https://defiliban.io/bitcoin-miner-3pfndg-reportedly-sold-265-btc-after-2-years/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-price-drops-after-trump-iran-threat-top-24-hour-crypto-news/,301,2,2,https://defiliban.io/top-5-crypto-news-24-hours-bitcoin-price-drops-trump-iran-threat/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitcoin-spot-etfs-see-159m-outflow-on-april-7-as-ethereum-etf-flows-stay-in-focus,301,2,2,https://defiliban.io/bitcoin-spot-etf-net-outflow-april-7-sosovalue/,low,replace source links with final destination,
residual_links,redirect,https://defiliban.io/bitrefill-cyberattack-on-march-1-2026-what-we-know/,301,2,2,https://defiliban.io/bitrefill-cyberattack-march-2026/,low,replace source links with final destination,
