url,last_crawled_gsc,current_status_code,current_indexability,current_indexability_status,inlinks_old_triage,word_count_old_triage,duplicate_title_count_old_triage,flags_old_triage,title_old_triage,action_bucket,priority,reason
https://defiliban.io/0x58bro-shorts-under-pressure-ena-ltc-bnb-btc-eth-hype/,1970-01-01,200,Indexable,,51,1283,1,single_slug;wordcount_1200_plus,"0x58bro Shorts Under Pressure as ENA, LTC, BNB, BTC, ETH and HYPE Rise",deprioritize,low,"Legitimate editorial URL, but not strong enough to prioritize before a fresh recrawl."
https://defiliban.io/11-4m-rollblock-presale-vs-386m-blockdag-presale-who-wins/,1970-01-01,200,Indexable,,50,1010,1,single_slug;blockdag_cluster,$11.4M RollBlock Presale vs $386M BlockDAG Presale: Who Wins?,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/115-million-liquidated-crypto-market-60-minutes/,1970-01-01,200,Indexable,,46,703,1,single_slug,Crypto Market Sees $115M Liquidated in 60 Minutes,deprioritize,low,Indexable URL currently discovered but not a high-priority push candidate based on local signals.
https://defiliban.io/17m-worth-of-proof-pods-crypto-crowd-cant-keep-calm-as-zero-knowledge-proof-zkp-to-roll-out-hardware-when-ica-opens/,1970-01-01,200,Indexable,,54,1297,1,single_slug;wordcount_1200_plus,$17M-Worth of Proof Pods: Crypto Crowd Can’t Keep Calm As Zero Knowledge Proof (ZKP) To Roll Out Hardware When ICA Opens!,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/21shares-dogecoin-etf-launch/,1970-01-01,200,Indexable,,51,688,1,single_slug;wordcount_lt700,21Shares Launches Dogecoin ETF on NASDAQ - DeFiliban,delete_or_noindex,medium,Launch/listing/announcement-style URL with weak crawl-quality signals.
https://defiliban.io/21shares-launches-spot-dogecoin-etf/,1970-01-01,200,Indexable,,50,856,1,single_slug,21Shares Launches Spot Dogecoin ETF on Nasdaq - DeFiliban,delete_or_noindex,medium,Launch/listing/announcement-style URL with weak crawl-quality signals.
https://defiliban.io/258m-crypto-liquidations-bitcoin-118m-4-hours/,1970-01-01,200,Indexable,,45,889,1,single_slug,$258M Crypto Liquidated in 4 Hours — Bitcoin Accounts for $118M,deprioritize,low,"Legitimate editorial URL, but not strong enough to prioritize before a fresh recrawl."
https://defiliban.io/3m-daily-miners-and-0-exchanges-how-blockdag-built-cryptos-most-organic-community/,1970-01-01,200,Indexable,,50,1115,1,single_slug;blockdag_cluster,3M+ Daily Miners and 0 Exchanges: How BlockDAG Built Crypto’s Most Organic Community,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/5-top-crypto-coins-to-buy-now-for-massive-gains-zero-knowledge-proof-zkp-dogecoin-filecoin-polygon-solana/,1970-01-01,200,Indexable,,55,1308,1,single_slug;wordcount_1200_plus,"5 Top Crypto Coins to Buy Now for Massive Gains: Zero Knowledge Proof (ZKP), Dogecoin, Filecoin, Polygon, & Solana!",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/800-kw-texas-edition-bitcoin-hash-hut-new-mexico-oil-gas/,1970-01-01,200,Indexable,,60,1148,1,single_slug,800 kW Texas Edition Bitcoin Hash Hut Deployed for New Mexico Oil and Gas Producer,keep_and_push,medium,Editorial URL with stronger content and internal-link signals than the average discovered set.
